id,name,isMain,word_id
58223,глагол,1,7787
58224,существительное,0,7787
58225,прилагательное,1,7788
58226,существительное,1,7791
58227,существительное,1,7792
58228,глагол,0,7792
58229,существительное,1,7796
58230,глагол,1,7797
58231,существительное,0,7797
58232,глагол,1,7807
58233,существительное,1,7809
58234,существительное,1,7810
58235,глагол,1,7814
58236,наречие,1,7818
58237,существительное,1,7819
58238,существительное,1,7821
58239,существительное,1,7825
58240,существительное,1,7825
58241,существительное,1,7828
58242,глагол,0,7828
58243,прилагательное,0,7828
58244,наречие,1,7831
58245,глагол,1,7835
58246,прилагательное,1,7837
58247,существительное,1,7842
58248,наречие,1,7844
58249,глагол,1,7846
58250,существительное,0,7846
58251,глагол,1,7849
58252,существительное,1,7851
58253,глагол,0,7851
58254,существительное,1,7853
58255,существительное,1,7857
58256,наречие,0,7857
58257,глагол,0,7857
58258,существительное,1,7860
58259,существительное,1,7866
58260,существительное,1,7870
58261,прилагательное,0,7870
58262,существительное,1,7875
58263,прилагательное,1,7880
58264,глагол,0,7880
58265,глагол,1,7881
58266,существительное,0,7881
58267,прилагательное,1,7882
58268,глагол,1,7883
58269,существительное,1,7889
58270,глагол,0,7889
58271,существительное,1,7890
58272,глагол,0,7890
58273,глагол,1,7893
58274,существительное,1,7894
58275,глагол,0,7894
58276,существительное,1,7900
58277,глагол,0,7900
58278,существительное,1,7902
58279,прилагательное,0,7902
58280,существительное,1,7907
58281,существительное,1,7915
58282,глагол,0,7915
58283,глагол,1,7920
58284,существительное,0,7920
58285,существительное,1,7921
58286,глагол,0,7921
58287,существительное,1,7932
58288,глагол,0,7932
58289,существительное,1,7935
58290,глагол,0,7935
58291,прилагательное,0,7935
58292,существительное,1,7937
58293,прилагательное,0,7937
58294,глагол,0,7937
58295,прилагательное,1,7938
58296,глагол,0,7938
58297,прилагательное,1,7940
58298,глагол,0,7940
58299,глагол,1,7946
58300,существительное,1,7953
58301,прилагательное,1,7957
58302,глагол,0,7957
58303,существительное,1,7958
58304,глагол,0,7958
58305,существительное,1,7958
58306,существительное,1,7961
58307,существительное,1,7962
58308,существительное,1,7972
58309,существительное,1,7977
58310,существительное,1,7977
58311,существительное,1,7979
58312,глагол,0,7979
58313,прилагательное,0,7979
58314,существительное,1,7982
58315,существительное,1,7987
58316,прилагательное,0,7987
58317,глагол,0,7987
58318,существительное,1,7988
58319,глагол,0,7988
58320,существительное,1,7989
58321,глагол,1,7990
58322,глагол,1,7991
58323,глагол,1,7995
58324,имя собственное,1,8001
58325,существительное,1,8004
58326,прилагательное,1,8007
58327,существительное,1,8008
58328,глагол,1,8017
58329,прилагательное,1,8018
58330,глагол,0,8018
58331,существительное,1,8020
58332,глагол,0,8020
58333,существительное,1,8022
58334,глагол,0,8022
58335,прилагательное,1,8024
58336,существительное,1,8025
58337,глагол,0,8025
58338,существительное,1,8026
58339,существительное,1,8027
58340,существительное,1,8027
58341,существительное,1,8030
58342,глагол,0,8030
58343,существительное,1,8033
58344,глагол,1,8035
58345,существительное,1,8041
58346,существительное,1,8050
58347,существительное,1,8051
58348,существительное,1,8051
58349,существительное,1,8564
58350,глагол,1,8577
58351,существительное,1,8580
58352,глагол,1,8596
58353,существительное,0,8596
58354,существительное,1,8624
58355,имя собственное,0,8624
58356,существительное,1,8629
58357,глагол,0,8629
58358,существительное,1,9057
58359,существительное,1,9081
58360,существительное,1,9110
58361,глагол,1,9118
58362,существительное,1,9119
58363,существительное,1,9129
58364,существительное,1,9142
58365,глагол,0,9142
58366,существительное,1,9147
58367,глагол,0,9147
58368,наречие,1,19369
58369,прилагательное,1,19406
58370,существительное,1,19409
58371,существительное,1,19457
58372,глагол,1,19473
58373,существительное,1,19474
58374,существительное,1,19490
58375,существительное,1,19497
58376,существительное,1,19512
58377,существительное,1,19519
58378,прилагательное,1,19539
58379,глагол,0,19539
58380,глагол,1,19546
58381,существительное,0,19546
58382,существительное,1,19547
58383,существительное,1,19554
58384,существительное,1,19566
58385,существительное,1,19571
58386,глагол,0,19571
58387,прилагательное,1,19582
58388,существительное,0,19582
58389,существительное,1,19583
58390,существительное,1,19591
58391,глагол,0,19591
58392,прилагательное,1,19607
58393,существительное,1,19611
58394,имя собственное,0,19611
58395,существительное,1,19616
58396,существительное,1,19622
58397,глагол,0,19622
58398,существительное,1,19637
58399,прилагательное,1,19648
58400,существительное,1,19658
58401,глагол,1,19659
58402,существительное,1,19668
58403,прилагательное,1,19669
58404,глагол,0,19669
58405,существительное,1,19672
58406,существительное,1,19699
58407,прилагательное,1,19721
58408,существительное,0,19721
58409,существительное,1,19726
58410,глагол,1,19732
58411,существительное,1,19740
58412,глагол,0,19740
58413,имя собственное,0,19740
58414,существительное,1,19748
58415,существительное,1,19767
58416,существительное,1,19783
58417,существительное,1,19790
58418,существительное,1,19802
58419,глагол,0,19802
58420,прилагательное,1,19808
58421,глагол,1,19812
58422,существительное,1,19819
58423,существительное,1,19828
58424,существительное,1,19839
58425,существительное,1,19840
58426,прилагательное,0,19840
58427,имя собственное,0,19840
58428,существительное,1,19855
58429,существительное,1,19864
58430,существительное,1,19882
58431,существительное,1,19887
58432,глагол,1,19889
58433,существительное,1,19915
58434,существительное,1,19921
58435,существительное,1,19929
58436,существительное,1,19948
58437,глагол,1,19953
58438,существительное,0,19953
58439,глагол,1,19965
58440,существительное,0,19965
58441,существительное,1,19973
58442,существительное,1,19981
58443,прилагательное,1,19985
58444,существительное,1,19998
58445,глагол,1,20006
58446,существительное,1,20012
58447,существительное,1,20031
58448,существительное,1,20031
58449,прилагательное,1,20038
58450,существительное,1,20050
58451,наречие,1,20051
58452,прилагательное,1,20055
58453,прилагательное,1,20067
58454,существительное,1,20086
58455,прилагательное,1,20090
58456,глагол,0,20090
58457,существительное,1,20103
58458,прилагательное,1,20124
58459,существительное,1,20128
58460,существительное,1,20130
58461,существительное,1,20130
58462,существительное,1,20136
58463,прилагательное,0,20136
58464,существительное,1,20164
58465,существительное,1,20168
58466,имя собственное,0,20168
58467,существительное,1,20173
58468,глагол,0,20173
58469,прилагательное,1,20179
58470,наречие,1,20182
58471,существительное,1,20189
58472,глагол,0,20189
58473,прилагательное,1,20197
58474,глагол,0,20197
58475,глагол,1,20198
58476,прилагательное,1,20211
58477,существительное,1,20221
58478,прилагательное,0,20221
58479,существительное,1,20248
58480,существительное,1,20248
58481,существительное,1,20276
58482,существительное,1,20284
58483,существительное,1,20300
58484,глагол,0,20300
58485,существительное,1,20303
58486,имя собственное,0,20303
58487,глагол,1,20316
58488,существительное,0,20316
58489,имя собственное,0,20316
58490,существительное,1,20336
58491,глагол,1,20344
58492,существительное,0,20344
58493,прилагательное,1,20356
58494,глагол,0,20356
58495,существительное,1,20359
58496,существительное,1,20359
58497,глагол,1,20384
58498,существительное,0,20384
58499,прилагательное,0,20384
58500,прилагательное,1,20385
58501,глагол,1,20389
58502,существительное,1,20408
58503,существительное,1,20412
58504,существительное,1,20421
58505,существительное,1,20423
58506,глагол,1,20437
58507,существительное,1,20440
58508,существительное,1,20449
58509,существительное,1,20449
58510,наречие,1,20459
58511,существительное,1,20468
58512,наречие,1,20480
58513,глагол,1,20495
58514,прилагательное,1,20510
58515,прилагательное,1,20524
58516,существительное,1,20539
